t1_win_rate,t1_recent_win_rate,t1_titles,t1_toss_win_rate,t1_toss2win_rate,t1_seasons,t2_win_rate,t2_recent_win_rate,t2_titles,t2_toss_win_rate,t2_toss2win_rate,t2_seasons,toss_winner_is_t1,team1_wins,team1,team2,season
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Kings XI Punjab,Rajasthan Royals,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Kolkata Knight Riders,Pune Warriors,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,0,1,Royal Challengers Bangalore,Delhi Daredevils,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Pune Warriors,Mumbai Indians,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Chennai Super Kings,Rajasthan Royals,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Delhi Daredevils,Kings XI Punjab,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Pune Warriors,Kolkata Knight Riders,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Chennai Super Kings,Delhi Daredevils,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,1,Mumbai Indians,Rajasthan Royals,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,0,1,Kings XI Punjab,Mumbai Indians,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Pune Warriors,Delhi Daredevils,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,0,1,Royal Challengers Bangalore,Chennai Super Kings,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,1,Chennai Super Kings,Mumbai Indians,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Rajasthan Royals,Mumbai Indians,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Mumbai Indians,Chennai Super Kings,2013
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,1,1,Kolkata Knight Riders,Mumbai Indians,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Delhi Daredevils,Royal Challengers Bangalore,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,1,0,Chennai Super Kings,Kings XI Punjab,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Sunrisers Hyderabad,Rajasthan Royals,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Mumbai Indians,Royal Challengers Bangalore,2014
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,0,Kolkata Knight Riders,Delhi Daredevils,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,0,0,Rajasthan Royals,Kings XI Punjab,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,1,Chennai Super Kings,Delhi Daredevils,2014
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.5294,0.5294,0.0,0.4118,0.1429,1.0,0,1,Kings XI Punjab,Sunrisers Hyderabad,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,1,Chennai Super Kings,Rajasthan Royals,2014
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,1,Kolkata Knight Riders,Royal Challengers Bangalore,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,1,Sunrisers Hyderabad,Delhi Daredevils,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,1,0,Mumbai Indians,Chennai Super Kings,2014
0.5054,0.5532,0.0,0.3871,0.5278,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Royal Challengers Bangalore,Rajasthan Royals,2014
